,,,,,,,,,,,,,,,,,,,,Ethnicity (Applied),Ethnicity (Applied),Ethnicity (Applied),Ethnicity (Applied),Ethnicity (Applied),Ethnicity (Applied),Ethnicity (Applied),Ethnicity (Admitted),Ethnicity (Admitted),Ethnicity (Admitted),Ethnicity (Admitted),Ethnicity (Admitted),Ethnicity (Admitted),Ethnicity (Admitted),GPA (Applied),GPA (Applied),GPA (Applied),GPA (Applied),GPA (Applied),GPA (Applied),GPA (Admitted),GPA (Admitted),GPA (Admitted),GPA (Admitted),GPA (Admitted),GPA (Admitted),Gender (Applied),Gender (Applied),Gender (Admitted),Gender (Admitted)
UC,Year,Ethnicity,EthApp, EthAdm,,UC ,Year,GPA Range,GPAApp%,GPAAdm,,UC,Year,Gender,GApp,GAdm%,,College,Year,Other/Unknown,International,White,Asian/Pacific Islander,American Indian,African American,Hispanic/Latinx,Other/Unknown,International,White,Asian/Pacific Islander,American Indian,African American,Hispanic/Latinx,Unknown/ Missing,4.20 and Above,3.80 - 4.19,3.40 - 3.79,3.00 - 3.39,0.00 - 2.99,Unknown/ Missing,4.20 and Above,3.80 - 4.19,3.40 - 3.79,3.00 - 3.39,0.00 - 2.99,Male,Female,Male,Female
Berkeley,2019,White,"18,013","3,223",,Berkeley,1994,0.00 - 2.99,6.16%,91,,Berkeley,2019,Male,"41,762",48.61%,,UC Berkeley,2019,"2,655","17,035","18,013","29,116",338,"4,364","15,877",661,"1,543","3,223","5,978",82,508,"2,282","6,672","24,290","35,933","13,911","4,923","1,669",677,"9,136","4,150",238,58,18,"41,762","44,900","5,879","8,258"
Berkeley,2019,Other/Unknown,"2,655",661,,Berkeley,1995,0.00 - 2.99,5.84%,116,,Berkeley,2019,Female,"44,900",49.46%,,UC Berkeley,2018,"3,046","17,064","18,911","29,170",382,"4,743","16,293",697,"1,453","3,115","5,378",52,523,"2,083","6,673","23,520","36,692","15,246","5,526","1,952",636,"8,616","3,779",206,49,15,"42,623","46,057","5,392","7,716"
Berkeley,2019,International,"17,035","1,543",,Berkeley,1996,0.00 - 2.99,5.47%,111,,Berkeley,2018,Male,"42,623",50.91%,,UC Berkeley,2017,"2,643","15,434","20,053","26,166",427,"4,439","15,883",706,"1,299","3,947","5,895",92,493,"2,117","6,711","21,604","34,248","15,020","5,599","1,863",666,"9,224","4,307",270,60,22,"40,850","43,447","6,139","8,225"
Berkeley,2019,Hispanic/Latinx,"15,877","2,282",,Berkeley,1997,0.00 - 2.99,4.59%,72,,Berkeley,2018,Female,"46,057",51.09%,,UC Berkeley,2016,"2,728","15,633","19,905","24,928",422,"4,220","14,724",758,"1,128","3,827","5,787",77,464,"1,934","6,555","20,057","33,364","15,202","5,504","1,878",538,"8,491","4,538",320,71,17,"40,455","41,514","6,049","7,766"
Berkeley,2019,Asian/Pacific Islander,"29,116","5,978",,Berkeley,1998,0.00 - 2.99,4.36%,60,,Berkeley,2017,Male,"40,850",50.90%,,UC Berkeley,2015,"2,494","15,027","18,781","24,365",417,"3,944","13,865",658,"1,409","3,496","5,383",75,429,"1,870","6,669","17,974","31,337","15,182","5,806","1,925",677,"8,328","3,885",330,79,21,"39,121","39,450","6,018","7,238"
Berkeley,2019,American Indian,338,82,,Berkeley,1999,0.00 - 2.99,4.09%,48,,Berkeley,2017,Female,"43,447",53.21%,,UC Berkeley,2014,"2,066","13,719","17,795","23,099",444,"3,540","13,122",509,"1,509","3,179","4,579",90,339,"1,615","5,829","16,360","29,372","14,702","5,682","1,840",677,"7,032","3,591",397,85,38,"36,780","36,733","5,356","6,408"
Berkeley,2019,African American,"4,364",508,,Berkeley,2000,0.00 - 2.99,4.15%,23,,Berkeley,2016,Male,"40,455",54.47%,,UC Berkeley,2013,"2,059","11,601","16,859","21,157",328,"3,381","12,321",497,"1,789","3,256","4,537",60,363,"1,428","4,939","14,258","26,661","14,315","5,549","1,984",717,"6,999","3,688",395,93,38,"33,531","33,933","5,552","6,311"
Berkeley,2018,White,"18,911","3,115",,Berkeley,2001,0.00 - 2.99,4.58%,33,,Berkeley,2016,Female,"41,514",56.22%,,UC Berkeley,2012,"1,708","9,434","15,406","20,555",368,"3,129","11,117",433,"1,262","3,001","4,461",76,365,"1,510","3,435","11,758","25,147","13,807","5,448","2,122",452,"6,304","3,755",444,99,54,"30,663","31,002","5,223","5,875"
Berkeley,2018,Other/Unknown,"3,046",697,,Berkeley,2002,0.00 - 2.99,4.72%,39,,Berkeley,2015,Male,"39,121",55.40%,,UC Berkeley,2011,"1,279","6,330","14,604","18,365",330,"2,647","9,427",369,"1,454","3,299","4,500",77,354,"1,399","2,215","10,169","21,914","12,153","4,777","1,754",413,"5,976","4,384",505,116,58,"25,818","27,139","5,329","6,116"
Berkeley,2018,International,"17,064","1,453",,Berkeley,2003,0.00 - 2.99,4.49%,42,,Berkeley,2015,Female,"39,450",56.12%,,UC Berkeley,2010,"2,721","4,929","14,170","17,332",352,"2,661","8,209",725,"1,154","3,287","3,995",80,337,"1,217","1,582","9,789","20,740","11,779","4,807","1,677",299,"5,991","3,950",410,92,53,"24,420","25,901","4,898","5,881"
