,,Ethnicity (Applied),Ethnicity (Applied),Ethnicity (Applied),Ethnicity (Applied),Ethnicity (Applied),Ethnicity (Admitted),Ethnicity (Admitted),Ethnicity (Admitted),Ethnicity (Admitted),Ethnicity (Admitted),Ethnicity (Admitted),Ethnicity (Admitted),Ethnicity (Admitted),Ethnicity (Admitted),GPA (Applied),GPA (Applied),GPA (Applied),GPA (Applied),GPA (Applied),GPA (Applied),GPA (Admitted),GPA (Admitted),GPA (Admitted),GPA (Admitted),GPA (Admitted),GPA (Admitted),Gender (Applied),Gender (Applied),Gender (Admitted),Gender (Admitted)
College,Year,Other/Unknown,International,White,Asian/Pacific Islander,American Indian,African American,Hispanic/Latinx,Other/Unknown,International,White,Asian/Pacific Islander,American Indian,African American,Hispanic/Latinx,Unknown/ Missing,4.20 and Above,3.80 - 4.19,3.40 - 3.79,3.00 - 3.39,0.00 - 2.99,Unknown/ Missing,4.20 and Above,3.80 - 4.19,3.40 - 3.79,3.00 - 3.39,0.00 - 2.99,Male,Female,Male,Female
UC Berkeley,2019,"2,655","17,035","18,013","29,116",338,"4,364","15,877",661,"1,543","3,223","5,978",82,508,"2,282","6,672","24,290","35,933","13,911","4,923","1,669",677,"9,136","4,150",238,58,18,"41,762","44,900","5,879","8,258"
UC Berkeley,2018,"3,046","17,064","18,911","29,170",382,"4,743","16,293",697,"1,453","3,115","5,378",52,523,"2,083","6,673","23,520","36,692","15,246","5,526","1,952",636,"8,616","3,779",206,49,15,"42,623","46,057","5,392","7,716"
UC Berkeley,2017,"2,643","15,434","20,053","26,166",427,"4,439","15,883",706,"1,299","3,947","5,895",92,493,"2,117","6,711","21,604","34,248","15,020","5,599","1,863",666,"9,224","4,307",270,60,22,"40,850","43,447","6,139","8,225"
UC Berkeley,2016,"2,728","15,633","19,905","24,928",422,"4,220","14,724",758,"1,128","3,827","5,787",77,464,"1,934","6,555","20,057","33,364","15,202","5,504","1,878",538,"8,491","4,538",320,71,17,"40,455","41,514","6,049","7,766"
UC Berkeley,2015,"2,494","15,027","18,781","24,365",417,"3,944","13,865",658,"1,409","3,496","5,383",75,429,"1,870","6,669","17,974","31,337","15,182","5,806","1,925",677,"8,328","3,885",330,79,21,"39,121","39,450","6,018","7,238"
UC Berkeley,2014,"2,066","13,719","17,795","23,099",444,"3,540","13,122",509,"1,509","3,179","4,579",90,339,"1,615","5,829","16,360","29,372","14,702","5,682","1,840",677,"7,032","3,591",397,85,38,"36,780","36,733","5,356","6,408"
UC Berkeley,2013,"2,059","11,601","16,859","21,157",328,"3,381","12,321",497,"1,789","3,256","4,537",60,363,"1,428","4,939","14,258","26,661","14,315","5,549","1,984",717,"6,999","3,688",395,93,38,"33,531","33,933","5,552","6,311"
UC Berkeley,2012,"1,708","9,434","15,406","20,555",368,"3,129","11,117",433,"1,262","3,001","4,461",76,365,"1,510","3,435","11,758","25,147","13,807","5,448","2,122",452,"6,304","3,755",444,99,54,"30,663","31,002","5,223","5,875"
UC Berkeley,2011,"1,279","6,330","14,604","18,365",330,"2,647","9,427",369,"1,454","3,299","4,500",77,354,"1,399","2,215","10,169","21,914","12,153","4,777","1,754",413,"5,976","4,384",505,116,58,"25,818","27,139","5,329","6,116"
UC Berkeley,2010,"2,721","4,929","14,170","17,332",352,"2,661","8,209",725,"1,154","3,287","3,995",80,337,"1,217","1,582","9,789","20,740","11,779","4,807","1,677",299,"5,991","3,950",410,92,53,"24,420","25,901","4,898","5,881"
UC Berkeley,2009,"2,670","4,383","14,547","16,697",270,"2,318","7,797",732,760,"3,318","4,036",49,334,"1,299","1,463","9,854","19,753","11,333","4,554","1,725",161,"6,044","3,813",348,112,50,"23,101","25,554","4,730","5,796"
UC Berkeley,2008,"3,267","3,317","15,045","16,702",246,"2,243","7,653",880,750,"3,288","3,895",46,319,"1,227","1,441","9,786","18,867","11,725","4,931","1,723",305,"5,992","3,577",375,97,59,"23,111","25,328","4,703","5,694"
UC Berkeley,2007,"2,805","2,606","14,040","15,996",233,"2,023","6,446",786,322,"3,413","4,103",59,322,"1,247","1,208","8,905","17,686","10,524","4,337","1,489",147,"5,850","3,705",404,100,46,"21,027","23,096","4,579","5,668"
UC Berkeley,2006,"2,862","2,189","13,053","15,660",251,"1,863","5,918",806,284,"3,188","4,080",58,324,"1,201","1,145","8,224","16,584","10,162","4,207","1,474",171,"5,652","3,649",345,78,46,"19,732","22,048","4,403","5,536"
UC Berkeley,2005,"2,671","1,896","12,089","13,607",191,"1,578","4,982",788,276,"3,379","3,888",53,304,"1,141","1,193","7,295","14,344","8,972","3,836","1,374",178,"5,437","3,683",391,92,48,"17,698","19,288","4,371","5,453"
UC Berkeley,2004,"3,284","1,524","11,617","13,813",185,"1,558","4,853",869,193,"3,163","3,584",41,239,966,"1,262","6,624","14,281","9,240","4,020","1,407",194,"4,800","3,532",355,129,45,"17,489","19,319","4,075","4,976"
UC Berkeley,2003,"3,568","1,746","11,651","13,462",198,"1,723","4,653",916,261,"2,853","3,397",51,328,"1,042","1,119","6,561","14,083","9,258","4,319","1,661",149,"4,655","3,541",359,102,42,"17,722","19,245","3,881","4,964"
